"","date","cep1.1st","cep1.2nd","cep2.1st","cep2.2nd","cep3.1st","cep3.2nd","cep4.1st","cep4.2nd","cep5.1st","cep5.2nd","cep1.3rd","cep2.3rd","cep3.3rd","cep4.3rd","cep5.3rd"
"1",2020-12-27,13,0,299,0,918,0,702,0,4267,0,0,0,0,0,0
"2",2020-12-28,23,0,530,0,1407,0,861,0,5064,0,0,0,0,0,0
"3",2020-12-29,35,0,803,0,1984,0,1045,0,5344,0,0,0,0,0,0
"4",2020-12-30,40,0,936,0,2181,0,1078,0,5398,0,0,0,0,0,0
"5",2020-12-31,58,0,1552,0,3179,0,1193,0,5509,0,0,0,0,0,0
"6",2021-01-01,63,0,1616,0,3247,0,1193,0,5523,0,0,0,0,0,0
"7",2021-01-02,86,0,1787,0,3449,0,1200,0,5524,0,0,0,0,0,0
"8",2021-01-03,88,0,2046,0,3679,1,1222,0,5567,0,0,0,0,0,0
"9",2021-01-04,103,0,2391,0,4204,1,1298,0,5697,0,0,0,0,0,0
"10",2021-01-05,142,0,3233,0,5539,1,1459,0,5866,0,0,0,0,0,0
"11",2021-01-06,228,0,5265,0,8289,1,1782,0,6067,1,0,0,0,0,0
"12",2021-01-07,358,0,7256,0,10959,1,2147,0,6388,1,0,0,0,0,0
"13",2021-01-08,428,0,8360,0,12291,1,2464,0,6830,2,0,0,0,0,0
"14",2021-01-09,430,0,8426,0,12434,1,2485,0,6852,2,0,0,0,0,0
"15",2021-01-10,430,0,8426,0,12435,1,2485,0,6852,2,0,0,0,0,0
"16",2021-01-11,447,0,8616,0,12633,1,2513,0,6903,2,0,0,0,0,0
"17",2021-01-12,482,0,8904,0,13069,1,2631,0,7909,2,0,0,0,0,0
"18",2021-01-13,539,0,9503,0,13924,1,2836,0,10930,4,0,0,0,0,0
"19",2021-01-14,611,0,10173,0,14815,1,3069,1,15811,4,0,0,0,0,0
"20",2021-01-15,659,2,10645,51,15441,77,3328,13,19149,11,0,0,0,0,0
"21",2021-01-16,660,2,10645,51,15441,77,3328,13,19473,11,0,0,0,0,0
"22",2021-01-17,660,2,10645,51,15441,77,3330,14,19474,11,0,0,0,0,0
"23",2021-01-18,660,4,10666,145,15459,142,3330,19,19478,11,0,0,0,0,0
"24",2021-01-19,677,10,10798,259,15667,443,3365,156,19630,1100,0,0,0,0,0
"25",2021-01-20,693,27,11038,617,16013,1304,3423,568,20161,3260,0,0,0,0,0
"26",2021-01-21,714,50,11292,1248,16341,2589,3470,960,20799,4420,0,0,0,0,0
"27",2021-01-22,724,59,11487,1477,16614,3006,3496,1049,21483,4672,0,0,0,0,0
"28",2021-01-23,728,72,11512,1693,16637,3258,3496,1057,21662,4673,0,0,0,0,0
"29",2021-01-24,729,72,11513,1695,16641,3262,3499,1078,21670,4781,0,0,0,0,0
"30",2021-01-25,729,72,11513,1695,16642,3263,3499,1079,21672,4784,0,0,0,0,0
"31",2021-01-26,737,96,11539,2332,16655,4207,3504,1199,21701,4813,0,0,0,0,0
"32",2021-01-27,746,180,11648,4104,16768,6725,3514,1495,21725,5001,0,0,0,0,0
"33",2021-01-28,769,281,11797,6096,16921,9675,3546,1924,21891,5338,0,0,0,0,0
"34",2021-01-29,797,377,11958,7630,17064,11393,3575,2228,22078,5740,0,0,0,0,0
