"day","OKU","HOS","HOSin","ICU","ICUin","DSM","VACC","VACC.rate"
1,NA,1,0,0,0,0,0,0
2,NA,1,0,0,0,0,0,0
3,NA,1,0,0,0,0,0,0
4,NA,1,0,0,0,0.02,0,0
5,NA,2,0,0,0,0.02,0,0
6,NA,2,0,0,0,0.03,0,0
7,3.74,2,1,0,0,0.05,0,0
8,5.13,3,1,0,0,0.06,0,0
9,6.73,3,1,0,0,0.07,0,0
10,8.53,4,1,1,0,0.1,0,0
11,10.69,5,1,1,0,0.12,0,0
12,13.36,6,1,1,0,0.13,0,0
13,16.67,7,2,1,0,0.17,0,0
14,20.77,8,2,1,0,0.2,0,0
15,25.87,9,2,1,0,0.24,0,0
16,29.84,10,2,1,0,0.3,0,0
17,31.76,12,2,2,0,0.36,0,0
18,33.6,13,2,2,0,0.44,0,0
19,35.28,14,2,2,0,0.5,0,0
20,36.53,15,2,2,0,0.59,0,0
21,37.09,16,3,2,0,0.66,0,0
22,36.74,17,3,3,0,0.76,0,0
23,37.52,19,3,3,0,0.84,0,0
24,40,20,3,3,0,0.94,0,0
25,42.31,21,3,3,0,1.02,0,0
26,44.47,23,3,3,0,1.11,0,0
27,46.62,24,3,4,0,1.21,0,0
28,48.81,25,3,4,0,1.3,0,0
29,51.03,26,3,4,0,1.41,0,0
30,53.31,27,3,4,0,1.51,0,0
31,55.82,27,3,4,0,1.62,0,0
32,53.12,28,3,4,0,1.72,0,0
33,50.02,28,3,5,0,1.82,0,0
34,46.49,28,2,5,0,1.92,0,0
35,42.46,28,2,5,0,2.01,0,0
36,37.89,28,2,5,0,2.08,0,0
37,32.73,28,2,5,0,2.14,0,0
38,27.12,27,2,5,0,2.19,0,0
39,26.25,27,2,5,0,2.22,0,0
40,25.26,26,2,5,0,2.23,0,0
41,24.16,26,2,4,0,2.24,0,0
42,23.04,25,2,4,0,2.12,0,0
43,21.91,25,2,4,0,2,0,0
44,20.82,24,1,4,0,1.89,0,0
45,19.76,24,1,4,0,1.76,0,0
46,18.74,23,1,4,0,1.64,0,0
47,17.76,22,1,4,0,1.55,0,0
48,16.84,22,1,4,0,1.46,0,0
49,15.96,21,1,4,0,1.36,0,0
50,15.12,20,1,4,0,1.27,0,0
51,14.33,20,1,4,0,1.19,0,0
52,13.57,19,1,3,0,1.14,0,0
53,12.86,18,1,3,0,1.05,0,0
54,12.18,18,1,3,0,0.99,0,0
55,11.54,17,1,3,0,0.93,0,0
56,10.93,16,1,3,0,0.86,0,0
57,10.36,16,1,3,0,0.82,0,0
58,9.81,15,1,3,0,0.77,0,0
59,9.3,14,1,3,0,0.73,0,0
60,8.81,14,1,3,0,0.67,0,0
61,8.34,13,1,3,0,0.63,0,0
62,7.9,13,1,2,0,0.61,0,0
63,7.49,12,0,2,0,0.56,0,0
64,7.09,12,0,2,0,0.52,0,0
65,6.72,11,0,2,0,0.49,0,0
66,6.23,11,0,2,0,0.47,0,0
67,5.53,10,0,2,0,0.43,0,0
68,4.85,9,0,2,0,0.41,0,0
69,4.21,9,0,2,0,0.38,0,0
70,3.58,8,0,2,0,0.36,0,0
71,2.98,8,0,2,0,0.34,0,0
72,2.4,8,0,2,0,0.33,0,0
73,1.99,7,0,1,0,0.29,0,0
